hour,total_veh_per_hour,basler_n,basler_s,quer_e,quer_w
0,163,49,49,33,33
1,87,26,26,17,17
2,54,16,16,11,11
3,44,13,13,9,9
4,65,20,20,13,13
5,163,49,49,33,33
6,432,130,130,86,86
7,812,244,244,162,162
8,758,227,227,152,152
9,598,179,179,120,120
10,542,163,163,108,108
11,596,179,179,119,119
12,654,196,196,131,131
13,596,179,179,119,119
14,594,178,178,119,119
15,706,212,212,141,141
16,872,262,262,174,174
17,1042,313,313,208,208
18,816,245,245,163,163
19,541,162,162,108,108
20,379,114,114,76,76
21,271,81,81,54,54
22,217,65,65,43,43
23,173,52,52,35,35
