hour,total_veh_per_hour,basler_n,basler_s,quer_e,quer_w
0,120,36,36,24,24
1,64,19,19,13,13
2,40,12,12,8,8
3,32,10,10,6,6
4,48,14,14,10,10
5,121,36,36,24,24
6,320,96,96,64,64
7,602,181,181,120,120
8,562,169,169,112,112
9,443,133,133,89,89
10,402,121,121,80,80
11,441,132,132,88,88
12,484,145,145,97,97
13,441,132,132,88,88
14,440,132,132,88,88
15,523,157,157,105,105
16,646,194,194,129,129
17,772,232,232,154,154
18,604,181,181,121,121
19,401,120,120,80,80
20,281,84,84,56,56
21,201,60,60,40,40
22,161,48,48,32,32
23,128,38,38,26,26
