TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
8312;8003;08;A;  98;230101; 7;s;01;  123;-;   77;-;    0;-;    0;-;  123;-;  114;-;    9;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   77;-;   72;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;02;  208;-;  198;-;    0;-;    0;-;  208;-;  204;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  198;-;  192;-;    6;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;03;  196;-;  148;-;    0;-;    0;-;  196;-;  188;-;    8;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  148;-;  144;-;    4;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;04;  123;-;  102;-;    1;-;    0;-;  122;-;  118;-;    4;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;  101;-;   97;-;    4;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;05;   78;-;   49;-;    1;-;    0;-;   77;-;   74;-;    3;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;   49;-;   47;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;06;   74;-;   55;-;    2;-;    1;-;   72;-;   72;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;   53;-;   50;-;    3;-;    0;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;07;   37;-;   48;-;    2;-;    2;-;   35;-;   32;-;    3;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;   46;-;   43;-;    3;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-
8312;8003;08;A;  98;230101; 7;s;08;   39;-;   42;-;    1;-;    2;-;   38;-;   35;-;    3;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;   39;-;   38;-;    1;-;    0;-;    1;-;    0;-;    1;-;    1;-;    1;-;    0;-
8312;8003;08;A;  98;230101; 7;s;09;   63;-;   80;-;    3;-;    2;-;   59;-;   54;-;    5;-;    0;-;    1;-;    1;-;    1;-;    1;-;    1;-;    0;-;   78;-;   71;-;    7;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
8312;8003;08;A;  98;230101; 7;s;10;  113;-;  243;-;    1;-;    2;-;  112;-;  106;-;    6;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;  241;-;  226;-;   14;-;    1;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-
8312;8003;08;A;  98;230101; 7;s;11;  208;-;  344;-;    2;-;    1;-;  204;-;  186;-;   18;-;    0;-;    2;-;    0;-;    1;-;    1;-;    1;-;    0;-;  340;-;  315;-;   23;-;    2;-;    2;-;    0;-;    0;-;    1;-;    1;-;    1;-
8312;8003;08;A;  98;230101; 7;s;12;  332;-;  487;-;    2;-;    1;-;  329;-;  299;-;   29;-;    1;-;    1;-;    1;-;    0;-;    1;-;    1;-;    0;-;  483;-;  455;-;   27;-;    1;-;    2;-;    0;-;    1;-;    0;-;    0;-;    1;-
8312;8003;08;A;  98;230101; 7;s;13;  537;-;  649;-;    0;-;    4;-;  535;-;  501;-;   34;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;  644;-;  600;-;   37;-;    7;-;    1;-;    2;-;    0;-;    2;-;    2;-;    0;-
8312;8003;08;A;  98;230101; 7;s;14;  530;-;  728;-;    3;-;    0;-;  526;-;  491;-;   30;-;    5;-;    1;-;    0;-;    1;-;    2;-;    2;-;    0;-;  724;-;  684;-;   36;-;    4;-;    3;-;    0;-;    0;-;    0;-;    0;-;    1;-
8312;8003;08;A;  98;230101; 7;s;15;  639;-;  858;-;    1;-;    3;-;  638;-;  585;-;   42;-;   11;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;  855;-;  804;-;   46;-;    5;-;    0;-;    0;-;    1;-;    2;-;    2;-;    0;-
8312;8003;08;A;  98;230101; 7;s;16;  679;-;  730;-;    1;-;    1;-;  677;-;  637;-;   34;-;    6;-;    1;-;    0;-;    0;-;    1;-;    1;-;    0;-;  729;-;  680;-;   44;-;    5;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;17;  779;-;  640;-;    2;-;    1;-;  776;-;  732;-;   37;-;    7;-;    1;-;    0;-;    1;-;    1;-;    1;-;    0;-;  637;-;  596;-;   38;-;    3;-;    1;-;    0;-;    0;-;    1;-;    1;-;    1;-
8312;8003;08;A;  98;230101; 7;s;18;  802;-;  555;-;    1;-;    0;-;  800;-;  752;-;   45;-;    3;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;  553;-;  518;-;   35;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    1;-
8312;8003;08;A;  98;230101; 7;s;19;  659;-;  428;-;    3;-;    2;-;  656;-;  621;-;   35;-;    0;-;    0;-;    0;-;    0;-;    3;-;    1;-;    0;-;  425;-;  404;-;   21;-;    0;-;    1;-;    2;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;20;  467;-;  280;-;    0;-;    3;-;  465;-;  440;-;   25;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;  273;-;  258;-;   15;-;    0;-;    3;-;    0;-;    1;-;    2;-;    1;-;    1;-
8312;8003;08;A;  98;230101; 7;s;21;  435;-;  237;-;    3;-;    1;-;  430;-;  400;-;   29;-;    1;-;    2;-;    0;-;    2;-;    1;-;    0;-;    0;-;  235;-;  227;-;    8;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;22;  310;-;  186;-;    1;-;    1;-;  308;-;  292;-;   16;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;  185;-;  176;-;    9;-;    0;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-
8312;8003;08;A;  98;230101; 7;s;23;  239;-;  100;-;    0;-;    2;-;  239;-;  223;-;   16;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   98;-;   95;-;    3;-;    0;-;    0;-;    0;-;    0;-;    2;-;    1;-;    0;-
8312;8003;08;A;  98;230101; 7;s;24;  122;-;   69;-;    1;-;    2;-;  121;-;  115;-;    6;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;   67;-;   62;-;    4;-;    1;-;    0;-;    1;-;    0;-;    1;-;    0;-;    0;-
8312;8003;08;A;  98;230102; 1;u;01;   70;-;   50;-;    1;-;    2;-;   69;-;   62;-;    7;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;   48;-;   43;-;    5;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-
8312;8003;08;A;  98;230102; 1;u;02;   46;-;   21;-;    1;-;    0;-;   45;-;   41;-;    4;-;    0;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;   20;-;   19;-;    1;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
8312;8003;08;A;  98;230102; 1;u;03;   32;-;   21;-;    5;-;    2;-;   27;-;   23;-;    4;-;    0;-;    0;-;    0;-;    0;-;    5;-;    4;-;    0;-;   18;-;   16;-;    2;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    1;-
8312;8003;08;A;  98;230102; 1;u;04;   31;-;   26;-;    7;-;    3;-;   24;-;   23;-;    1;-;    0;-;    0;-;    0;-;    2;-;    5;-;    4;-;    0;-;   23;-;   23;-;    0;-;    0;-;    0;-;    0;-;    1;-;    2;-;    2;-;    0;-
8312;8003;08;A;  98;230102; 1;u;05;   91;-;   40;-;   17;-;    4;-;   74;-;   72;-;    2;-;    0;-;    0;-;    1;-;    7;-;    9;-;    7;-;    0;-;   36;-;   29;-;    7;-;    0;-;    0;-;    0;-;    1;-;    3;-;    3;-;    0;-
8312;8003;08;A;  98;230102; 1;u;06;  262;-;  176;-;   27;-;    6;-;  234;-;  219;-;   15;-;    0;-;    1;-;    2;-;    3;-;   22;-;   19;-;    0;-;  169;-;  164;-;    5;-;    0;-;    1;-;    0;-;    3;-;    3;-;    2;-;    0;-
8312;8003;08;A;  98;230102; 1;u;07;  488;-;  285;-;   45;-;   22;-;  443;-;  401;-;   41;-;    1;-;    0;-;    1;-;   11;-;   33;-;   30;-;    0;-;  261;-;  230;-;   29;-;    2;-;    0;-;    0;-;    6;-;   16;-;   12;-;    2;-
8312;8003;08;A;  98;230102; 1;u;08;  610;-;  481;-;   46;-;   27;-;  560;-;  515;-;   43;-;    2;-;    4;-;    0;-;   17;-;   29;-;   22;-;    0;-;  451;-;  414;-;   37;-;    0;-;    2;-;    1;-;    8;-;   18;-;   10;-;    1;-
8312;8003;08;A;  98;230102; 1;u;09;  472;-;  505;-;   53;-;   32;-;  413;-;  345;-;   68;-;    0;-;    6;-;    1;-;   21;-;   31;-;   24;-;    0;-;  470;-;  432;-;   36;-;    2;-;    3;-;    3;-;    8;-;   21;-;   18;-;    0;-
8312;8003;08;A;  98;230102; 1;u;10;  470;-;  781;-;   46;-;   60;-;  421;-;  371;-;   49;-;    1;-;    3;-;    0;-;   12;-;   34;-;   26;-;    0;-;  716;-;  659;-;   56;-;    1;-;    5;-;    2;-;   19;-;   39;-;   34;-;    0;-
8312;8003;08;A;  98;230102; 1;u;11;  580;-;  827;-;   42;-;   53;-;  529;-;  457;-;   71;-;    1;-;    9;-;    0;-;   11;-;   31;-;   25;-;    0;-;  764;-;  689;-;   75;-;    0;-;    7;-;    3;-;   17;-;   33;-;   27;-;    3;-
8312;8003;08;A;  98;230102; 1;u;12;  710;-;  891;-;   41;-;   50;-;  664;-;  577;-;   86;-;    1;-;    3;-;    0;-;   13;-;   28;-;   22;-;    2;-;  835;-;  758;-;   76;-;    1;-;    5;-;    0;-;   13;-;   37;-;   29;-;    1;-
8312;8003;08;A;  98;230102; 1;u;13; 1002;-;  985;-;   41;-;   44;-;  951;-;  852;-;   96;-;    3;-;   10;-;    0;-;   10;-;   31;-;   27;-;    0;-;  937;-;  848;-;   88;-;    1;-;    3;-;    2;-;   14;-;   28;-;   23;-;    1;-
8312;8003;08;A;  98;230102; 1;u;14; 1076;-; 1023;-;   52;-;   45;-; 1017;-;  935;-;   79;-;    3;-;    7;-;    0;-;   11;-;   41;-;   28;-;    0;-;  969;-;  889;-;   74;-;    6;-;    9;-;    1;-;    8;-;   36;-;   24;-;    0;-
8312;8003;08;A;  98;230102; 1;u;15; 1015;-; 1191;-;   36;-;   45;-;  972;-;  897;-;   69;-;    6;-;    7;-;    0;-;    9;-;   27;-;   24;-;    0;-; 1139;-; 1034;-;  103;-;    2;-;    7;-;    2;-;   17;-;   26;-;   18;-;    0;-
8312;8003;08;A;  98;230102; 1;u;16; 1043;-; 1192;-;   32;-;   51;-; 1009;-;  918;-;   84;-;    7;-;    2;-;    0;-;   10;-;   22;-;   19;-;    0;-; 1130;-; 1027;-;  100;-;    3;-;   10;-;    3;-;   16;-;   32;-;   19;-;    1;-
8312;8003;08;A;  98;230102; 1;u;17; 1362;-; 1238;-;   26;-;   37;-; 1333;-; 1227;-;  104;-;    2;-;    3;-;    1;-;    7;-;   18;-;   15;-;    0;-; 1190;-; 1086;-;  102;-;    2;-;    9;-;    2;-;   11;-;   24;-;   15;-;    2;-
8312;8003;08;A;  98;230102; 1;u;18; 1245;-; 1156;-;   20;-;   32;-; 1220;-; 1139;-;   80;-;    1;-;    5;-;    0;-;    5;-;   15;-;   12;-;    0;-; 1113;-; 1030;-;   81;-;    2;-;    7;-;    4;-;    7;-;   21;-;   13;-;    4;-
