Datum;Wotag;Stunde;KFZ_R1;KFZ_R2;KFZ_Gesamt
01.01.2023;7;0;42;38;80
01.01.2023;7;1;21;19;40
01.01.2023;7;2;14;13;27
01.01.2023;7;3;11;11;22
01.01.2023;7;4;15;13;28
01.01.2023;7;5;38;35;73
01.01.2023;7;6;109;101;210
01.01.2023;7;7;201;185;386
01.01.2023;7;8;190;175;365
01.01.2023;7;9;143;132;275
01.01.2023;7;10;142;131;273
01.01.2023;7;11;155;143;298
01.01.2023;7;12;163;151;314
01.01.2023;7;13;158;146;304
01.01.2023;7;14;153;141;294
01.01.2023;7;15;169;156;325
01.01.2023;7;16;222;204;426
01.01.2023;7;17;248;229;477
01.01.2023;7;18;213;196;409
01.01.2023;7;19;136;125;261
01.01.2023;7;20;94;87;181
01.01.2023;7;21;66;60;126
01.01.2023;7;22;58;53;111
01.01.2023;7;23;43;40;83
02.01.2023;1;0;61;57;118
02.01.2023;1;1;33;30;63
02.01.2023;1;2;21;20;41
02.01.2023;1;3;17;16;33
02.01.2023;1;4;25;24;49
02.01.2023;1;5;64;59;123
02.01.2023;1;6;185;171;356
02.01.2023;1;7;307;284;591
02.01.2023;1;8;285;263;548
02.01.2023;1;9;220;204;424
02.01.2023;1;10;215;199;414
02.01.2023;1;11;243;224;467
02.01.2023;1;12;249;230;479
02.01.2023;1;13;220;203;423
02.01.2023;1;14;220;204;424
02.01.2023;1;15;280;259;539
02.01.2023;1;16;347;320;667
02.01.2023;1;17;412;381;793
02.01.2023;1;18;303;280;583
02.01.2023;1;19;212;195;407
02.01.2023;1;20;147;136;283
02.01.2023;1;21;106;97;203
02.01.2023;1;22;87;81;168
02.01.2023;1;23;68;62;130
03.01.2023;2;0;65;60;125
03.01.2023;2;1;34;31;65
03.01.2023;2;2;21;20;41
03.01.2023;2;3;17;16;33
03.01.2023;2;4;23;22;45
03.01.2023;2;5;62;57;119
03.01.2023;2;6;163;151;314
03.01.2023;2;7;304;280;584
03.01.2023;2;8;289;266;555
03.01.2023;2;9;247;228;475
03.01.2023;2;10;200;184;384
03.01.2023;2;11;241;222;463
03.01.2023;2;12;230;212;442
03.01.2023;2;13;226;209;435
03.01.2023;2;14;232;214;446
03.01.2023;2;15;280;258;538
03.01.2023;2;16;346;320;666
03.01.2023;2;17;417;385;802
03.01.2023;2;18;308;284;592
03.01.2023;2;19;204;189;393
03.01.2023;2;20;152;141;293
03.01.2023;2;21;103;96;199
03.01.2023;2;22;78;72;150
03.01.2023;2;23;63;58;121
04.01.2023;3;0;60;55;115
04.01.2023;3;1;34;32;66
04.01.2023;3;2;21;19;40
04.01.2023;3;3;17;16;33
04.01.2023;3;4;24;23;47
04.01.2023;3;5;63;59;122
04.01.2023;3;6;173;159;332
04.01.2023;3;7;308;285;593
04.01.2023;3;8;299;276;575
04.01.2023;3;9;222;205;427
04.01.2023;3;10;205;190;395
04.01.2023;3;11;226;208;434
04.01.2023;3;12;236;217;453
04.01.2023;3;13;236;217;453
04.01.2023;3;14;225;207;432
04.01.2023;3;15;272;251;523
04.01.2023;3;16;342;316;658
