episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed
0,0,0.17085689391514636,6,170,10.383898075921728
1,1,0.20984985503016015,6,167,10.290484894069701
2,2,0.23492779758383087,8,159,10.24760387221197
3,3,0.23088127968502448,7,161,10.267472636635508
4,4,0.2162948047483415,6,151,10.340312230813796
5,5,0.1635368753607311,6,145,10.393542079705776
6,6,0.20810875439862958,6,155,10.340393250792816
7,7,0.21795284773786855,6,156,10.326977920455116
8,8,0.24796235895403718,6,171,10.175752004517735
9,9,0.20981892972184232,6,151,10.30337738997612
10,10,0.2029106353655591,7,154,10.334308422584508
11,11,0.21587047564856163,6,138,10.24299263149906
12,12,0.19420828054669942,6,180,10.480023915617007
13,13,0.20459078600548783,7,147,10.274975815977458
14,14,0.19240653782956138,6,146,10.37636945040685
15,15,0.186660765648283,7,142,10.369592045202818
16,16,0.18818966131726186,6,153,10.36503073773694
17,17,0.21483346942778286,6,172,10.235028876655381
18,18,0.16761262316047335,6,146,10.48260403326599
19,19,0.22314443916385662,6,171,10.192030853336108
20,20,0.21082975431103032,7,151,10.320263399656383
21,21,0.21064369056740764,8,143,10.2787960696739
22,22,0.15382899578461298,6,158,10.480653276155676
23,23,0.18523309792380527,7,138,10.3499175695971
24,24,0.17864888232433307,7,140,10.427107240835694
25,25,0.23289323174898766,7,158,10.425982628245366
26,26,0.22258978500309984,7,167,10.252904086886293
27,27,0.19466124297955087,7,149,10.396253112795023
28,28,0.20745054375428856,8,154,10.310600512405333
29,29,0.16285546015088317,6,169,10.516677211521358
