episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed
0,0,4.272298946736003,9,178,8.15826402674888
1,1,4.3690053901932835,9,174,8.144555133022473
2,2,4.257503776851904,8,177,8.200406645900774
3,3,4.246742214096583,8,157,8.217485211205691
4,4,4.3078668286967625,8,190,8.178469384964824
5,5,4.241814365323381,9,177,8.214703888884454
6,6,4.300212518641784,9,187,8.188060232656062
7,7,4.40762404685775,8,150,8.123702627746924
8,8,4.284945675375633,8,190,8.173511105323001
9,9,4.30309948384722,8,191,8.220045190274616
10,10,4.30464880896573,8,164,8.208038666565306
11,11,4.493960803028071,9,167,8.112326781075621
12,12,4.407244729765535,8,195,8.155546330433676
13,13,4.417664501471713,9,166,8.11584566423549
14,14,4.31019981713463,9,172,8.16608651230078
15,15,4.397314291887801,9,179,8.14024938896724
16,16,4.35646107629464,9,158,8.169748945314575
17,17,4.264013700508152,9,181,8.199276165892261
18,18,4.330417201732573,9,167,8.197293842561105
19,19,4.3427654602248715,8,167,8.140360551824388
20,20,4.348864704412555,8,169,8.169598281571076
21,21,4.362497296200486,8,178,8.145413525449978
22,22,4.395395795066391,8,200,8.198491564422294
23,23,4.325564133816561,8,185,8.124566924705254
24,24,4.3616311585625045,9,177,8.18165937588765
25,25,4.235063531489043,8,169,8.207166274161098
26,26,4.294248385302477,8,203,8.206200126701201
27,27,4.230368605902994,9,182,8.232413515883977
28,28,4.396570533185324,9,170,8.137272391584087
29,29,4.33148090328987,8,175,8.171677449075881
