episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed
0,0,14.955999398644504,126,463,2.1174163425392454
1,1,15.203567799342402,126,512,2.14301008308464
2,2,14.8126176955377,127,489,2.1598757627494543
3,3,14.831008927166309,123,490,2.1442209719271204
4,4,14.98700214988826,125,442,2.1623201085240655
5,5,15.37912413542163,124,490,2.1256687644538235
6,6,15.156027672232806,126,490,2.14583233913982
7,7,14.909664464489145,125,512,2.13940080643843
8,8,15.013045498389262,127,498,2.135616115318441
9,9,15.232458742768898,126,465,2.138452978619756
