episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed,tripinfo_mean_waiting_time,tripinfo_mean_duration,tripinfo_mean_time_loss
0,0,101.0026886737284,120,536,5.196273623938921,6.0690298507462686,68.14925373134328,17.230578358208966
1,1,558.3809975980176,244,318,1.7401197185117232,5.408805031446541,65.61635220125787,16.107767295597476
2,2,1.8388748404697788,16,661,7.068601154902202,6.136157337367625,71.29803328290468,18.144130105900164
3,3,1.8761867433074464,16,661,7.200186695830703,5.968229954614221,70.01512859304084,17.828547655068075
4,4,1.5124074592004817,10,666,7.236266423595104,6.097597597597598,70.25525525525525,17.885195195195205
5,5,557.3454578858112,244,318,1.7540091122019408,5.69811320754717,66.57232704402516,16.34566037735848
6,6,558.197843088742,244,318,1.748572002358757,5.534591194968553,65.76729559748428,16.17433962264151
7,7,1.8907171998030456,15,660,7.19276652330998,6.093939393939394,70.00757575757575,17.771560606060607
8,8,557.8306556863744,244,318,1.7421089267958902,5.452830188679245,65.55974842767296,15.860534591194988
9,9,557.7031356604136,244,318,1.7659914011241082,5.685534591194968,65.72955974842768,16.340094339622652
10,10,558.0653190250865,244,318,1.7518663761123336,5.418238993710692,65.63207547169812,16.0588679245283
11,11,101.29916606266644,121,536,5.226061463763172,6.302238805970149,67.48134328358209,17.379608208955222
12,12,619.435100186455,259,245,1.5024407023355275,5.293877551020408,64.65306122448979,15.654693877551024
13,13,557.4023705142887,244,318,1.7620981339878812,5.330188679245283,65.81761006289308,15.970534591194966
14,14,557.5340323129367,244,318,1.7470874058942227,5.578616352201258,66.67924528301887,16.385283018867927
15,15,559.4474968706985,244,318,1.7561426969282987,5.0062893081761,65.1006289308176,15.517767295597503
16,16,1.845690544189519,15,662,7.18375628652876,5.922960725075528,70.00604229607251,17.645392749244696
17,17,375.37038259908775,221,366,2.8632516600419624,5.423497267759563,65.93715846994536,16.343196721311468
18,18,1.4653634426248763,8,669,7.257741371952344,6.098654708520179,70.13602391629297,17.857339312406594
19,19,375.42831656127385,220,370,2.8294354013151546,5.510810810810811,66.77297297297298,16.52964864864865
20,20,558.3773107856077,244,318,1.7532140353864798,5.314465408805032,65.93081761006289,16.170220125786162
21,21,1.9137463658212486,15,660,7.14926176202865,6.083333333333333,70.39242424242424,17.74816666666667
22,22,375.12279450556304,220,370,2.886215280294996,5.627027027027027,65.69459459459459,16.33570270270269
23,23,1.8407540856831244,15,662,7.172207788666677,5.944108761329305,70.49244712990937,17.681586102719045
24,24,1.384403176929021,8,667,7.316130364928858,5.84407796101949,69.41379310344827,17.497211394302845
25,25,1.8238565956796442,14,664,7.15712014863579,5.947289156626506,70.5105421686747,17.81079819277111
26,26,558.0993781776218,244,318,1.7397849895585116,5.8427672955974845,66.22955974842768,16.504119496855356
27,27,1.9066627866937123,14,661,7.178790304231315,5.9803328290468984,70.02571860816944,17.747201210287447
28,28,1.3570737499886885,8,667,7.2281914182840765,5.914542728635682,70.30584707646177,17.718290854572707
29,29,557.7391645826862,244,318,1.7644960370887128,5.361635220125786,66.0880503144654,16.191415094339614
